題目,正確答案,選項一,選項二,選項三,選項四
問題#11⼀家公司有⼀個在 Amazon EC2 執⾏個體上執⾏並使⽤ Amazon Aurora 資料庫的應⽤程式。EC2 執⾏個體使⽤本機儲存在檔案中的使⽤者名稱和密碼連線到資料庫。該公司希望最⼤限度地減少憑證管理的營運開銷。解決⽅案架構師應該做什麼來實現這個⽬標？,, 使⽤ AWS Secrets Manager。開啟⾃動旋轉。, 使⽤ AWS Systems Manager 參數儲存。開啟⾃動旋轉。, 建立 Amazon S3 儲存桶來儲存使⽤ AWS Key Management Service (AWS KMS) 加密⾦鑰加密的物件。將憑證檔案移轉到 S3 儲存桶。將應⽤程式指向 S3 儲存桶。, 為每個 EC2 執⾏個體建立加密的 Amazon Elastic Block Store (Amazon EBS) 磁碟區。將新的 EBS 磁碟區附加到每個 EC2 執⾏個體。將憑證檔案遷移到新的 EBS 磁碟區。將應⽤程式指向新的 EBS 磁碟區。
問題#12⼀家跨國公司將其 Web 應⽤程式託管在應⽤程式負載平衡器 (ALB) 後⾯的 Amazon EC2 執⾏個體上。Web應⽤程式有靜態資料和動態資料。該公司將其靜態資料儲存在 Amazon S3 儲存桶中。該公司希望提⾼靜態數據和動態數據的效能並減少延遲。該公司正在使⽤⾃⼰在 Amazon Route 53 上註冊的網域。解決⽅案架構師應該如何做才能滿⾜這些要求？,, 建立以 S3 儲存桶和 ALB 為來源的 Amazon CloudFront 分配。設定 Route 53 以將流量路由⾄ CloudFront 分配。, 建立以 ALB 作為來源的 Amazon CloudFront 分配。建立將 S3 儲存桶作為終端節點的 AWS Global Accelerator 標準加速器 配置Route 53 以將流量路由⾄ CloudFront 分配。, 建立以 S3 儲存桶作為來源的 Amazon CloudFront 分配。建立以 ALB 和 CloudFront 指派作為終端節點的 AWS Global Accelerator 標準加速器。建立指向加速器 DNS 名稱的⾃訂網域。使⽤⾃訂網域名稱作為 Web 應⽤程式的端點。, 建立以 ALB 作為來源的 Amazon CloudFront 分配。建立以 S3 儲存桶作為終端節點的 AWS Global Accelerator 標準加速器。建立兩個網域。將⼀個網域名稱指向動態內容的 CloudFront DNS 名稱。將另⼀個網域指向靜態內容的加速器 DNS 名稱。使⽤網域名稱作為 Web 應⽤程式的端點。
問題#13⼀家公司每⽉對其 AWS 基礎設施進⾏維護。在這些維護活動期間，該公司需要在多個 AWS 區域輪換其 Amazon RDS for MySQL 資料庫的憑證。哪種解決⽅案能夠以最少的營運開銷滿⾜這些要求？,, 將憑證作為⾦鑰儲存在 AWS Secrets Manager 中。對所需區域使⽤多區域秘密複製。配置 Secrets Manager 以按計劃輪換⾦鑰。, 透過建立安全字串參數，將憑證作為機密儲存在 AWS Systems Manager 中。對所需區域使⽤多區域秘密複製。配置 SystemsManager 以按計劃輪換機密。, 將憑證儲存在啟⽤了伺服器端加密 (SSE) 的 Amazon S3 儲存桶中。使⽤ Amazon EventBridge (Amazon CloudWatch Events) 呼叫AWS Lambda 函數來輪換憑證。, 使⽤ AWS Key Management Service (AWS KMS) 多區域客⼾託管⾦鑰將憑證加密為機密。將機密儲存在 Amazon DynamoDB 全域表中。使⽤ AWS Lambda 函數從 DynamoDB 檢索⾦鑰。使⽤ RDS API 輪換機密。
問題#14⼀家公司在應⽤程式負載平衡器後⾯的 Amazon EC2 執⾏個體上執⾏電⼦商務應⽤程式。這些執⾏個體在跨多個可⽤區的 AmazonEC2 Auto Scaling 群組中執⾏。Auto Scaling 組根據 CPU 使⽤率指標進⾏擴展。電⼦商務應⽤程式將交易資料儲存在⼤型 EC2 執⾏個體上託管的 MySQL 8.0 資料庫中。隨著應⽤程式負載的增加，資料庫的效能會迅速下降。應⽤程式處理的讀取請求多於寫入事務。該公司希望有⼀種解決⽅案可以⾃動擴展資料庫，以滿⾜不可預測的讀取⼯作負載的需求，同時保持⾼可⽤性。哪種解決⽅案可以滿⾜這些要求？,, 將 Amazon Redshift 與單⼀節點結合使⽤以實現領導者和運算功能。, 將 Amazon RDS 與單⼀可⽤區部署結合使⽤ 設定 Amazon RDS 以在不同的可⽤區中新增讀取器執⾏個體。, 將 Amazon Aurora 與多可⽤區部署結合使⽤。使⽤ Aurora 副本設定 Aurora Auto Scaling。, 將 Amazon ElastiCache for Memcached 與 EC2 Spot 執⾏個體結合使⽤。
問題#15⼀家公司最近遷移到 AWS，並希望實施解決⽅案來保護流入和流出⽣產 VPC 的流量。該公司在其本地資料中⼼設有⼀台檢查伺服器。檢查伺服器執⾏流量檢查、流量過濾等特定操作。該公司希望在 AWS 雲端中擁有相同的功能。哪種解決⽅案可以滿⾜這些要求？,, 使⽤ Amazon GuardDuty 在⽣產 VPC 中進⾏流量檢查和流量過濾。, 使⽤流量鏡像鏡像⽣產VPC的流量，進⾏流量檢查和過濾。, 使⽤ AWS 網路防火牆為⽣產 VPC 建立流量檢查和流量過濾所需的規則。, 使⽤ AWS Firewall Manager 為⽣產 VPC 建立流量檢查和流量過濾所需的規則。
問題#16⼀家公司在 AWS 上託管資料湖。資料湖由 Amazon S3 和 Amazon RDS for PostgreSQL 中的資料組成。該公司需要⼀個提供資料視覺化並包含資料湖中所有資料來源的報告解決⽅案。只有公司的管理團隊才能完全存取所有視覺化。公司的其他成員應該只有有限的存取權限。哪種解決⽅案可以滿⾜這些要求？,, 在 Amazon QuickSight 中建立分析。連接所有資料來源並建立新的資料集。發布儀表板以可視化數據。與適當的 IAM ⾓⾊共⽤儀表板。, 在 Amazon QuickSight 中建立分析。連接所有資料來源並建立新的資料集。發布儀表板以可視化數據。與適當的使⽤者和群組共⽤儀表板。, 為 Amazon S3 中的資料建立 AWS Glue 資料表和爬網程式。建立 AWS Glue 提取、轉換和載入 (ETL) 作業以產⽣報表。將報告發佈到 Amazon S3。使⽤ S3 儲存桶策略來限制對報告的存取。, 為 Amazon S3 中的資料建立 AWS Glue 資料表和爬網程式。使⽤ Amazon Athena 聯合查詢存取 Amazon RDS for PostgreSQL 中的資料。使⽤ Amazon Athena 產⽣報告。將報告發佈到 Amazon S3。使⽤ S3 儲存桶策略來限制對報告的存取。
問題#17⼀家公司正在實施⼀個新的業務應⽤程式。該應⽤程式在兩個 Amazon EC2 執⾏個體上執⾏，並使⽤ Amazon S3 儲存桶進⾏文件儲存。解決⽅案架構師需要確保 EC2 執⾏個體可以存取 S3 儲存桶。解決⽅案架構師應該做什麼來滿⾜這個要求？,, 建立⼀個授予 S3 儲存桶存取權限的 IAM ⾓⾊。將⾓⾊附加到 EC2 執⾏個體。, 建立授予對 S3 儲存桶的存取權限的 IAM 策略。將策略附加到 EC2 執⾏個體。, 建立⼀個 IAM 群組來授予對 S3 儲存桶的存取權限。將群組附加到 EC2 執⾏個體。, 建立⼀個授予 S3 儲存桶存取權限的 IAM 使⽤者。將使⽤者帳⼾附加到 EC2 執⾏個體。
問題#18應⽤程式開發團隊正在設計⼀個微服務，將⼤圖像轉換為較⼩的壓縮圖像。當使⽤者透過 Web 介⾯上傳映像時，微服務應將映像儲存在 Amazon S3 儲存桶中，使⽤ AWS Lambda 函數處理和壓縮映像，並將映像以壓縮形式儲存在不同的 S3 儲存桶中。解決⽅案架構師需要設計⼀個使⽤持久、無狀態元件來⾃動處理影像的解決⽅案。哪⼀種⾏動組合可以滿⾜這些要求？（選兩個。）,, 建立 Amazon Simple Queue Service (Amazon SQS) 佇列。配置 S3 儲存桶，以便在映像上傳到 S3 儲存桶時向 SQS 佇列發送通知。, 配置 Lambda 函數以使⽤ Amazon Simple Queue Service (Amazon SQS) 佇列作為呼叫來源。當SQS訊息處理成功後，刪除佇列中的訊息。, 配置 Lambda 函數以監控 S3 儲存桶中的新上傳。當偵測到上傳的圖像時，將檔案名稱寫入記憶體中的文字文件，並使⽤該文字檔案來追蹤已處理的圖像。, 啟動 Amazon EC2 執⾏個體來監控 Amazon Simple Queue Service (Amazon SQS) 佇列。將項⽬新增⾄佇列後，將檔案名稱記錄在EC2 執⾏個體上的文字檔案中並呼叫 Lambda 函數。E. 配置 Amazon EventBridge (Amazon CloudWatch Events) 事件以監控 S3 儲存桶。上傳圖像後，使⽤應⽤程式擁有者的電⼦郵件地址將警報發送到 Amazon ⾜夠的通知服務 (Amazon SNS) 主題以進⾏進⼀步處理。
問題 #19⼀家公司有⼀個部署在 AWS 上的三層 Web 應⽤程式。Web 伺服器部署在 VPC 的公有⼦網路中。應⽤程式伺服器和資料庫伺服器部署在同⼀VPC的私有⼦網路中。該公司已在檢查 VPC 中部署了來⾃ AWS Marketplace 的第三⽅虛擬防火牆設備。設備配置有可以接受IP 封包的 IP 介⾯。解決⽅案架構師需要將 Web 應⽤程式與裝置集成，以便在流量到達 Web 伺服器之前檢查應⽤程式的所有流量。哪種解決⽅案能夠以最少的營運開銷滿⾜這些要求？,, 在應⽤程式 VPC 的公有⼦網路中建立網路負載平衡器，以將流量路由到設備進⾏封包檢查。, 在應⽤程式 VPC 的公有⼦網路中建立應⽤程式負載平衡器，以將流量路由到設備進⾏封包檢查。, 在檢查 VP 中部署中轉網關 設定路由表以透過中轉網關路由傳入封包。, 在檢查 VPC 中部署網關負載平衡器。建立網關負載平衡器端點以接收傳入資料包並將資料包轉送⾄裝置。
問題#20⼀家公司希望提⾼將⼤量⽣產資料克隆到同⼀ AWS 區域的測試環境中的能⼒。資料儲存在 Amazon Elastic Block Store (Amazon EBS) 磁碟區上的 Amazon EC2 執⾏個體中。克隆資料的修改不得影響⽣產環境。存取此資料的軟體需要始終如⼀的⾼ I/O 效能。解決⽅案架構師需要最⼤限度地減少將⽣產資料複製到測試環境所需的時間。哪種解決⽅案可以滿⾜這些要求？,, 拍攝⽣產 EBS 磁碟區的 EBS 快照。將快照還原到測試環境中的 EC2 執⾏個體儲存磁碟區上。, 配置⽣產 EBS 磁碟區以使⽤ EBS 多重附加功能。拍攝⽣產 EBS 磁碟區的 EBS 快照。將⽣產 EBS 磁碟區附加到測試環境中的 EC2執⾏個體。, 拍攝⽣產 EBS 磁碟區的 EBS 快照。建立並初始化新的 EBS 磁碟區。在從⽣產 EBS 快照復原磁碟區之前，將新的 EBS 磁碟區附加到測試環境中的 EC2 執⾏個體。, 拍攝⽣產 EBS 磁碟區的 EBS 快照。在EBS快照上開啟EBS快速快照復原功能。將快照還原到新的 EBS 磁碟區。將新的 EBS 磁碟區附加到測試環境中的 EC2 執⾏個體。
問題#21⼀家電⼦商務公司希望在 AWS 上推出每⽇⼀交易網站。每天 24 ⼩時內都會有⼀款產品在促銷。該公司希望能夠在⾼峰時段以毫秒延遲處理每⼩時數百萬個請求。哪種解決⽅案能夠以最少的營運開銷滿⾜這些要求？,, 使⽤ Amazon S3 在不同的 S3 儲存桶中託管完整網站。新增 Amazon CloudFront 發⾏版。將 S3 儲存桶設定為分發的來源。將訂單資料儲存在 Amazon S3 中。, 在跨多個可⽤區的 Auto Scaling 群組中執⾏的 Amazon EC2 執⾏個體上部署完整網站。新增應⽤程式負載平衡器 (ALB) 以指派網站流量。為後端 API 新增另⼀個 ALB。將資料儲存在 Amazon RDS for MySQL 中。, 遷移完整應⽤程式以在容器中運⾏。在 Amazon Elastic Kubernetes Service (Amazon EKS) 上託管容器。使⽤ Kubernetes ClusterAutoscaler 增加和減少 Pod 數量以處理突發流量。將資料儲存在 Amazon RDS for MySQL 中。, 使⽤ Amazon S3 儲存桶託管網站的靜態內容。部署 Amazon CloudFront 發⾏版。將 S3 儲存桶設定為原點。使⽤ Amazon APIGateway 和 AWS Lambda 函數作為後端 API。將資料儲存在 Amazon DynamoDB 中。
問題＃22解決⽅案架構師正在使⽤ Amazon S3 設計新數位媒體應⽤程式的儲存架構。媒體檔案必須能夠適應可⽤區域遺失的情況。某些文件被頻繁訪問，⽽另⼀些文件則很少以不可預測的模式被訪問。解決⽅案架構師必須最⼤限度地降低儲存和檢索媒體檔案的成本。哪種儲存選項可以滿⾜這些要求？A、 S3標準B.S3 智能分層C. S3標準-不頻繁訪問（S3標準-IA）D. S3 ⼀區-不頻繁訪問（S3 ⼀區-IA）答案：B🗳社區投票分佈⼄（100%）,, S3標準,S3 智能分層, S3標準-不頻繁訪問（S3標準-IA）, S3 ⼀區-不頻繁訪問（S3 ⼀區-IA）
問題#23⼀家公司正在使⽤ Amazon S3 標準儲存空間來儲存備份檔案。文件被頻繁存取1個⽉。但是，1 個⽉後將無法存取這些文件。公司必須無限期保存這些文件。哪種儲存解決⽅案能夠最經濟有效率地滿⾜這些要求？,, 配置 S3 智慧分層以⾃動遷移物件。, 建立 S3 ⽣命週期配置，以在 1 個⽉後將物件從 S3 Standard 過渡到 S3 Glacier Deep Archive。, 建立 S3 ⽣命週期配置，以在 1 個⽉後將物件從 S3 標準過渡到 S3 標準-不頻繁存取 (S3 標準-IA)。, 建立 S3 ⽣命週期配置，以在 1 個⽉後將物件從 S3 Standard 過渡到 S3 One Zone-Infrequent Access (S3 One Zone-IA)。
問題#24⼀家公司在最近的帳單中發現 Amazon EC2 成本增加。計費團隊注意到幾個 EC2 執⾏個體的執⾏個體類型出現不必要的垂直擴展。解決⽅案架構師需要建立⼀個圖表來比較過去 2 個⽉的 EC2 成本，並進⾏深入分析以確定垂直擴展的根本原因。解決⽅案架構師應如何以最少的營運開銷產⽣資訊？,, 使⽤ AWS Budgets 建立預算報告並根據執⾏個體類型比較 EC2 成本。, 使⽤ Cost Explorer 的精細過濾功能根據執⾏個體類型對 EC2 成本進⾏深入分析。, 使⽤ AWS Billing and Cost Management 儀表板中的圖表來比較過去 2 個⽉基於執⾏個體類型的 EC2 成本。, 使⽤ AWS 成本和使⽤情況報告建立報告並將其發送到 Amazon S3 儲存桶。使⽤ Amazon QuickSight 和 Amazon S3 作為來源，根據執⾏個體類型產⽣互動式圖表。
問題#25⼀家公司正在設計⼀個應⽤程式。該應⽤程式使⽤ AWS Lambda 函數透過 Amazon API Gateway 接收資訊並將資訊儲存在 AmazonAurora PostgreSQL 資料庫中。在概念驗證階段，該公司必須⼤幅增加 Lambda 配額，以處理公司需要載入到資料庫中的⼤量資料。解決⽅案架構師必須推薦⼀種新設計，以提⾼可擴展性並最⼤限度地減少配置⼯作。哪種解決⽅案可以滿⾜這些要求？,, 將 Lambda 函數程式碼重構為在 Amazon EC2 執⾏個體上執⾏的 Apache Tomcat 程式碼。使⽤本機 Java 資料庫連線 (JDBC) 驅動程式連接資料庫。, 將平台從 Aurora 變更為 Amazon DynamoD 配置 DynamoDB Accelerator (DAX) 叢集。使⽤ DAX ⽤⼾端 SDK 將現有 DynamoDB API 呼叫指向 DAX 叢集。, 設定兩個 Lambda 函數。配置⼀項功能來接收訊息。配置另⼀個函數以將資訊載入到資料庫中。使⽤ Amazon Simple NoticationService (Amazon SNS) 整合 Lambda 函數。, 設定兩個 Lambda 函數。配置⼀項功能來接收訊息。配置另⼀個函數以將資訊載入到資料庫中。使⽤ Amazon Simple QueueService (Amazon SQS) 佇列整合 Lambda 函數。
問題#26公司需要檢查其 AWS 雲端部署，以確保其 Amazon S3 儲存桶沒有未經授權的配置變更。解決⽅案架構師應該做什麼來實現這個⽬標？,, 使⽤適當的規則開啟 AWS Cong。, 透過適當的檢查開啟 AWS Trusted Advisor。, 使⽤適當的評估範本開啟 Amazon Inspector。, 開啟 Amazon S3 伺服器存取記錄。配置 Amazon EventBridge（Amazon Cloud Watch 事件）。
問題#27⼀家公司正在推出⼀個新應⽤程序，並將在 Amazon CloudWatch 儀表板上顯⽰應⽤程式指標。公司的產品經理需要定期存取該儀表板。產品經理沒有 AWS 帳⼾。解決⽅案架構師必須遵循最⼩權限原則向產品經理提供存取權限。哪種解決⽅案可以滿⾜這些要求？,, 從 CloudWatch 控制台共⽤控制⾯板。輸入產品經理的電⼦郵件地址，並完成共⽤步驟。向產品經理提供儀表板的可共享連結。, 專⾨為產品經理創建⼀個IAM⽤⼾。將 CloudWatchReadOnlyAccess AWS 託管策略附加到使⽤者。與產品經理共享新的登入憑證。與產品經理共⽤正確儀表板的瀏覽器 URL。, 為公司員⼯創建IAM⽤⼾。將 ViewOnlyAccess AWS 託管原則附加到 IAM 使⽤者。與產品經理共享新的登入憑證。請產品經理導航⾄ CloudWatch 控制台並在儀表板部分中按名稱找到儀表板。, 在公共⼦網路中部署堡壘伺服器。當產品經理需要存取儀表板時，啟動伺服器並共⽤ RDP 憑證。在堡壘伺服器上，請確保瀏覽器已配置為使⽤具有檢視儀表板的適當權限的快取 AWS 憑證開啟儀表板 URL。
問題#28⼀家公司正在將應⽤程式遷移到 AWS。應⽤程式部署在不同的帳⼾中。該公司使⽤ AWS Organizations 集中管理帳⼾。本公司的安全團隊需要跨公司所有帳⼾的單⼀登入 (SSO) 解決⽅案。本公司必須繼續管理其本機⾃⾏管理的 Microsoft Active Directory 中的使⽤者和群組。哪種解決⽅案可以滿⾜這些要求？,, 從 AWS SSO 主控台啟⽤ AWS Single Sign-On (AWS SSO)。建立單向林信任或單向網域信任，以透過使⽤適⽤於 Microsoft ActiveDirectory 的 AWS Directory Service 將公司的⾃我管理 Microsoft Active Directory 與 AWS SSO 連線。, 從 AWS SSO 主控台啟⽤ AWS Single Sign-On (AWS SSO)。使⽤適⽤於 Microsoft Active Directory 的 AWS Directory Service 建立雙向林信任，以將公司的⾃我管理 Microsoft Active Directory 與 AWS SSO 連結。, 使⽤ AWS Directory Service。與公司⾃⾏管理的 Microsoft Active Directory 建立雙向信任關係。, 在本機部署⾝分提供者 (IdP)。從 AWS SSO 主控台啟⽤ AWS Single Sign-On (AWS SSO)。
